M01,M02,M03,M04,M05,M06,M07,M08,M09,M010,M011,M012,M013,M014,M015,M016,M017,M018,M019,M020,M021,M022,M023,M024,M025,M026,M027,M028,M029,M030,M031,M032,M033,M034,M035,M036,M037,M038,M039,M040,M041,M042,M043,M044,M045,M046,M047,M048,M049,M050,M051,M052,M053,M054,M055,M056,M057,M058,M059,M060,M061,M062,M063,M064,M065,M066,M067,M068,M069,M070,M071,M072,M073,M074,M075,M076,M077,M078,M079,M080,M081,M082,M083
gene 11,0,138.12489886743,547.823439110206,0,429.907476754571,0,229.982515570014,333.729326977727,350.95318333439,444.516178005133,0,0,0,0,0,0,266.513330267257,0,150.223262699853,0,153.437145985105,221.609958698346,206.886903175554,0,238.176795919776,0,312.641804784015,178.792326836104,170.172947736864,0,0,272.2684273632,0,0,389.592548540569,0,0,365.551312096316,308.041918667001,0,0,0,237.143465676178,245.351510755286,211.306972881006,250.977627257365,0,278.109891637889,495.012025085165,0,265.431228997632,450.792387505494,0,500.884676050943,0,269.891516996954,201.844752993538,226.261309805361,224.978831516386,0,0,286.197275127321,578.544330347277,0,0,300.992019998289,353.770894218516,273.569586456684,295.761405056592,261.318450683195,0,0,0,0,120.218227301998,0,0,0,225.067947245205,0,0,422.138570410104,282.298211257356
gene 12,0,0,287.130979305059,0,313.237727717841,0,229.982515570014,0,0,0,459.706113037734,0,208.904495595251,0,0,304.134664314334,0,0,0,0,153.437145985105,0,206.886903175554,277.282158149031,304.888107641679,168.828053561003,0,0,0,0,128.216808789051,0,0,0,0,241.445483016068,0,0,0,0,0,181.535810211439,237.143465676178,167.822677815762,0,177.484771285837,0,0,0,0,216.512308960418,0,0,0,0,0,285.304110219513,0,311.712687682785,0,0,0,0,0,0,0,220.219652384387,0,0,0,0,259.923683057579,0,295.345083688609,161.843100571576,0,0,0,0,0,0,302.320295244679,194.789087961852
gene 13,0,138.12489886743,0,0,0,0,0,0,0,444.516178005133,0,0,0,0,0,0,0,264.281080036598,0,0,0,0,0,0,0,0,312.641804784015,0,0,0,0,0,0,278.971438037384,0,0,0,0,0,0,0,0,0,0,211.306972881006,177.484771285837,0,0,0,0,265.431228997632,0,0,0,194.940991154112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.843100571576,228.122153793122,0,0,0,0,0,377.287167207512,305.997127438617
gene 14,0,0,287.130979305059,468.668280130982,0,0,0,0,274.128785320885,0,0,0,0,0,208.461323100732,0,0,0,150.223262699853,0,0,0,0,0,0,0,0,178.792326836104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.738447875189,176.322479597547,0,0,353.998454670885,0,0,0,0,0,0,0,180.200185903583,224.978831516386,0,0,0,0,0,202.789377098837,0,0,0,0,0,0,0,0,0,0,0,0,0,156.468681569191,0,0,0,0
gene 15,0,0,0,0,0,263.934817532526,0,333.729326977727,0,0,0,0,0,0,0,0,0,0,0,0,153.437145985105,193.529182665549,0,0,0,168.828053561003,0,178.792326836104,0,0,128.216808789051,0,0,342.131422712371,0,241.445483016068,0,0,0,0,0,0,0,0,0,0,217.313613434699,0,315.97103103233,0,0,0,0,0,0,220.829097576407,0,0,0,0,0,0,0,0,0,0,0,217.037299676303,266.451964712608,0,0,0,0,0,0,228.122153793122,0,0,0,0,198.13929335806,0,0
gene 16,286.288682211242,364.867082843878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.613248748589,206.711676960163,0,281.938427584291,206.886903175554,0,0,0,0,0,0,335.50914948929,0,0,0,0,0,0,0,365.551312096316,0,0,0,181.535810211439,0,0,330.090807177706,0,0,0,0,0,0,500.683704019373,0,0,0,0,0,180.200185903583,0,0,0,0,0,0,0,249.175238318059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene 17,0,0,287.130979305059,383.810865097261,0,0,0,0,0,0,0,188.503031074248,208.904495595251,0,0,0,0,0,150.223262699853,0,0,0,0,0,238.176795919776,168.828053561003,0,0,170.172947736864,228.460355860848,216.873626594274,0,0,0,0,0,0,0,196.261139846616,0,0,0,0,0,0,177.484771285837,0,0,0,275.301868115583,265.431228997632,0,466.487775254339,334.655794176542,194.940991154112,0,0,0,0,0,0,205.896936099827,0,0,0,198.795821271718,325.174671720971,217.037299676303,0,0,0,259.923683057579,0,0,0,228.122153793122,0,0,0,0,0,0,249.332495940303
gene 18,0,222.25122240477,0,0,0,0,0,0,0,0,0,146.722429446298,0,0,0,0,0,0,0,0,0,147.597149925969,0,0,238.176795919776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.822677815762,0,0,0,0,0,307.432739532442,0,0,466.487775254339,0,0,0,0,136.61519196367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.468681569191,0,0,302.320295244679,0
gene 19,0,222.25122240477,287.130979305059,0,0,0,0,0,0,0,459.706113037734,0,261.609566106696,0,0,0,0,0,0,0,223.835220833551,193.529182665549,0,0,0,0,312.641804784015,178.792326836104,252.067421263456,0,0,0,0,0,0,0,0,0,0,272.893437093106,0,0,187.534920913167,0,330.090807177706,177.484771285837,217.313613434699,0,315.97103103233,0,0,0,0,0,0,0,201.844752993538,206.928855476267,0,0,0,0,0,0,0,0,0,273.569586456684,266.451964712608,0,0,0,0,0,221.180665707808,0,0,0,0,0,0,377.287167207512,0
gene 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.223262699853,0,0,0,0,0,0,0,0,0,0,0,187.945897675754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.642350846685,0,449.582154350248,0,0,0,0,0,0,0,0,0,0
gene 21,0,0,497.629095629046,0,0,0,0,0,0,0,378.23670858171,0,0,371.738969547604,0,0,0,264.281080036598,150.223262699853,0,0,0,0,0,0,0,0,260.98240305559,0,0,0,0,0,0,0,0,0,0,308.041918667001,0,0,0,0,0,0,0,0,0,0,0,265.431228997632,0,0,0,0,220.829097576407,0,0,0,486.600788766271,0,205.896936099827,0,0,0,0,0,0,0,0,0,0,0,238.534537820057,0,0,0,0,0,0,0,0,0
gene 22,0,0,0,0,0,0,0,0,0,0,0,0,208.904495595251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.825939868469,0,0
gene 23,0,0,360.43181136912,0,0,0,0,0,0,0,0,0,293.18217545068,0,0,0,0,0,191.626668891664,0,242.939708293624,193.529182665549,0,0,374.196062526102,0,0,0,0,0,187.945897675754,0,0,0,0,0,285.188017006075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.374007006225,0,0,0,0,0,0,0,0,0,194.789087961852
gene 24,421.336863540628,379.905439225648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.529182665549,0,0,345.209125308383,0,0,0,0,0,0,0,0,0,389.592548540569,0,0,445.659100419561,0,0,0,0,0,0,0,0,0,0,0,163.774078233922,0,0,0,0,0,0,0,253.881430226318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene 25,0,0,0,0,0,0,0,0,0,0,0,146.722429446298,208.904495595251,0,0,449.33884105651,0,0,0,162.445201571458,0,0,0,0,0,215.509359908345,429.733818939589,0,0,0,187.945897675754,0,223.055694599317,0,0,0,0,0,0,0,334.217650709151,0,0,167.822677815762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311.712687682785,0,0,0,0,482.741361933201,202.789377098837,0,0,273.569586456684,266.451964712608,0,0,0,323.881592846336,0,0,228.122153793122,0,0,0,0,0,302.320295244679,0
gene 26,198.230550020921,0,0,0,429.907476754571,263.934817532526,229.982515570014,410.798113809096,0,0,0,146.722429446298,0,0,208.461323100732,0,0,0,216.613248748589,162.445201571458,0,0,0,0,0,0,312.641804784015,178.792326836104,170.172947736864,0,128.216808789051,0,0,278.971438037384,0,241.445483016068,285.188017006075,0,0,0,195.252121409941,0,237.143465676178,0,211.306972881006,270.738447875189,200.159486730118,0,0,163.774078233922,216.512308960418,0,0,416.717915958976,245.804797896866,0,254.001881986979,0,0,0,0,0,0,357.519339338414,253.055616083811,0,0,0,0,0,0,0,0,0,0,0,326.292296770769,236.079823293688,0,0,198.13929335806,0,0
gene 27,0,0,0,0,0,0,0,0,0,649.588851806384,0,188.503031074248,0,0,0,0,0,264.281080036598,0,0,0,0,0,277.282158149031,0,0,0,0,170.172947736864,228.460355860848,0,0,0,0,0,0,0,0,0,0,0,0,305.071622260675,167.822677815762,269.614286615497,0,0,195.180806352834,0,0,216.512308960418,0,466.487775254339,334.655794176542,0,0,0,0,0,0,0,0,0,0,202.789377098837,0,0,217.037299676303,0,0,0,0,0,0,0,228.122153793122,326.292296770769,0,0,424.092724655954,0,422.138570410104,324.511910558436
gene 28,198.230550020921,0,0,0,0,0,0,0,350.95318333439,572.213505539674,0,0,261.609566106696,0,0,304.134664314334,144.636619570738,0,0,0,0,0,0,277.282158149031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.252121409941,181.535810211439,0,0,0,177.484771285837,0,0,0,0,0,0,0,0,194.940991154112,0,0,206.928855476267,0,387.040993583717,0,0,0,0,0,249.175238318059,0,0,0,0,0,0,0,329.240184189525,0,0,470.636245197378,0,0,0,0,0,0
gene 29,0,0,0,0,0,0,229.982515570014,333.729326977727,0,444.516178005133,0,188.503031074248,293.18217545068,371.738969547604,0,0,0,0,216.613248748589,162.445201571458,0,0,0,0,0,0,312.641804784015,0,0,0,0,0,312.729365423446,342.131422712371,0,0,0,0,0,224.30937847502,0,0,187.534920913167,245.351510755286,0,0,176.322479597547,0,0,0,0,0,466.487775254339,0,0,220.829097576407,201.844752993538,0,0,0,0,0,0,516.041707910536,253.055616083811,0,285.49296902178,0,0,0,0,0,262.695490975031,0,0,255.306041026869,0,0,0,0,0,0,0
gene 30,0,0,0,0,429.907476754571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.172947736864,335.50914948929,0,0,0,278.971438037384,0,0,0,0,0,0,0,0,0,0,0,0,200.159486730118,195.180806352834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene 31,0,264.677926871674,287.130979305059,0,0,263.934817532526,0,0,397.389173238478,0,0,146.722429446298,261.609566106696,0,208.461323100732,0,217.789692268115,0,0,233.398355796111,223.835220833551,193.529182665549,206.886903175554,0,0,168.828053561003,0,0,0,0,0,0,223.055694599317,0,0,354.522870973359,0,0,0,288.731887375384,0,181.535810211439,0,0,269.614286615497,177.484771285837,0,300.455389943734,587.97744078264,0,0,0,0,0,0,0,201.844752993538,0,279.283797089513,0,277.085048909376,0,0,0,202.789377098837,317.855595922114,0,217.037299676303,332.992620456447,261.318450683195,0,0,262.695490975031,238.534537820057,0,255.306041026869,326.292296770769,236.079823293688,258.076875639307,0,0,0,194.789087961852
gene 32,343.987086285597,364.867082843878,360.43181136912,383.810865097261,0,349.232509363034,312.560321828853,515.019346676616,456.854490972911,444.516178005133,542.516765082743,146.722429446298,293.18217545068,0,419.759823856079,557.866915720335,321.922570741609,430.532537477036,298.57208479795,299.252407852565,223.835220833551,320.986267801029,389.663976480558,417.762762129545,444.882603629107,0,460.993045323626,362.971133216509,346.764065598212,312.966517608992,293.886091994725,338.869408770274,336.785793129232,278.971438037384,666.756237960403,330.711278980325,455.68523029103,445.659100419561,326.64784200883,345.14529734652,319.69643177301,340.293530675917,377.210274592029,348.145866934151,464.540013698845,270.738447875189,217.313613434699,344.321201213452,524.799064045939,307.432739532442,331.477378070703,536.324556211122,657.97055466701,600.699976774212,368.811257937219,0,371.634567694841,136.61519196367,279.283797089513,430.870111245556,494.435034597758,338.168303177995,578.544330347277,516.041707910536,283.128200250571,370.576408168745,435.635343261699,379.622336548438,332.992620456447,323.22463149049,388.80793942187,426.489636763831,423.298500605472,372.360369107332,233.335701692264,289.939912047368,397.836849057625,0,320.66323419655,477.392524651696,247.368674118141,377.287167207512,390.555071113747
gene 33,253.137488832488,0,287.130979305059,0,0,0,0,0,0,444.516178005133,0,0,0,0,208.461323100732,0,217.789692268115,264.281080036598,0,0,197.282417000016,0,289.212226237683,0,345.209125308383,0,0,0,0,0,128.216808789051,0,0,379.698859363095,0,0,0,0,251.092562498153,0,247.723341195641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.844752993538,253.881430226318,0,387.040993583717,0,0,0,0,0,0,285.49296902178,0,0,0,0,0,0,0,0,228.122153793122,0,0,199.26131680459,0,0,0,0
gene 34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.636619570738,0,248.584877207527,0,0,193.529182665549,0,0,0,0,0,229.978251497235,170.172947736864,0,0,0,0,0,0,241.445483016068,0,0,196.261139846616,0,301.994799878861,0,0,0,0,0,0,317.893507204293,0,0,0,0,0,0,0,0,0,0,0,313.508684754421,0,256.159359970651,446.80629951697,0,304.657178048857,300.992019998289,0,0,0,0,0,0,0,0,0,0,0,293.015940760214,199.26131680459,335.445182096205,247.368674118141,0,0
gene 35,0,0,0,0,0,0,0,0,350.95318333439,444.516178005133,508.035603304598,188.503031074248,315.796956115575,0,296.943534887247,449.33884105651,144.636619570738,0,216.613248748589,332.227140081812,304.692976987319,257.782590494953,258.390054246456,346.577350872907,0,168.828053561003,0,178.792326836104,170.172947736864,399.503269023554,128.216808789051,0,312.729365423446,0,0,0,285.188017006075,0,251.092562498153,224.30937847502,0,259.414854908703,187.534920913167,282.864488474268,0,250.977627257365,272.775148746023,195.180806352834,403.819588264368,414.179099412856,265.431228997632,366.956674384658,466.487775254339,334.655794176542,194.940991154112,299.043246724718,285.304110219513,241.415943142882,279.283797089513,387.040993583717,0,205.896936099827,0,0,0,343.394888944856,220.219652384387,0,383.839771557739,423.957158295602,0,0,0,431.319249715943,0,0,326.292296770769,327.014117593673,269.952648124332,0,247.368674118141,0,282.298211257356
gene 36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.058791336198,0,0,0,0,0,0,0,0,0,0,0,0,319.69643177301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.318450683195,0,0,0,0,0,0,0,0,0,0,0,0,0
gene 37,0,0,0,0,0,0,0,0,0,0,0,146.722429446298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.792326836104,0,0,227.297361621151,0,0,0,0,0,0,365.551312096316,196.261139846616,0,0,0,187.534920913167,0,211.306972881006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.085048909376,0,0,0,0,198.795821271718,0,0,0,261.318450683195,326.642350846685,0,0,0,0,0,0,0,0,0,0,0,0
gene 38,0,138.12489886743,0,0,0,0,0,0,0,0,0,188.503031074248,0,0,0,0,0,0,150.223262699853,0,0,0,0,0,0,0,386.00452721854,0,0,0,0,0,0,0,0,241.445483016068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.940991154112,0,0,0,0,0,0,307.692030581919,0,0,0,249.175238318059,0,217.037299676303,0,0,265.724161762501,0,0,0,0,0,0,0,0,0,0,0,0
gene 39,0,0,0,0,0,263.934817532526,0,0,0,0,542.516765082743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.405780421956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene 40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.180806352834,0,0,0,0,0,0,0,0,285.304110219513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.694642578873,0,0,199.26131680459,0,0,0,0
gene 41,0,0,0,0,313.237727717841,0,0,0,0,0,0,0,0,0,0,0,237.858893010032,0,0,0,0,0,0,0,0,0,0,0,0,228.460355860848,0,0,0,0,0,0,0,0,0,252.597779100809,0,0,0,167.822677815762,0,0,0,195.180806352834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365.440493051789,0,253.055616083811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene 42,328.717424143994,304.729059135831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.882603629107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.838279250423,0,0,0,0,0,0,0,0,0,0,0,0,330.010646837482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252.666280747997,0,0,0,0,0,0,0,0
gene 43,0,0,0,0,0,0,0,0,350.95318333439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.216808789051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.283797089513,0,0,0,556.545274616812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene 44,198.230550020921,245.973138773697,0,0,0,0,0,0,0,0,0,0,208.904495595251,0,263.714182185751,509.245714080858,217.789692268115,264.281080036598,191.626668891664,0,0,147.597149925969,0,0,374.196062526102,243.689553507719,386.00452721854,0,0,0,187.945897675754,0,279.140601198114,427.417289939841,0,241.445483016068,388.905516051878,0,284.225163657526,0,366.655811344991,0,0,296.378717759681,0,0,0,0,315.97103103233,0,0,536.324556211122,0,0,0,0,0,226.261309805361,0,0,277.085048909376,0,0,0,0,198.795821271718,285.49296902178,0,357.640152842663,323.22463149049,265.724161762501,0,323.881592846336,329.240184189525,0,274.768788276462,0,236.079823293688,225.067947245205,0,247.368674118141,454.248081068793,305.997127438617
gene 45,0,0,0,0,0,0,0,0,350.95318333439,0,508.035603304598,188.503031074248,0,544.887618746953,0,0,253.583281609682,327.52727167426,0,0,242.939708293624,147.597149925969,0,0,0,0,0,229.978251497235,0,0,0,378.67725545565,0,0,0,0,350.21306041997,0,0,0,0,0,0,216.096901384542,269.614286615497,0,176.322479597547,195.180806352834,0,0,315.302927745181,366.956674384658,0,0,0,0,0,206.928855476267,0,462.200333273987,277.085048909376,286.197275127321,0,0,0,300.992019998289,0,0,0,0,0,259.923683057579,0,295.345083688609,0,0,0,0,156.468681569191,0,0,0,0
gene 46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.188017006075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265.724161762501,0,0,0,0,0,0,0,0,0,0,0,0
gene 47,0,0,0,0,0,349.232509363034,0,0,274.128785320885,0,0,0,208.904495595251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407.164892631694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.61519196367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene 48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.176795919776,0,0,0,0,0,0,0,223.055694599317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403.819588264368,0,0,0,0,0,276.354672958093,220.829097576407,0,0,0,0,0,0,0,0,0,0,0,0,0,261.318450683195,0,0,0,0,120.218227301998,0,0,0,0,0,0,0,0
gene 49,0,0,0,0,313.237727717841,263.934817532526,431.15912973433,410.798113809096,0,0,0,0,0,0,0,449.33884105651,0,0,150.223262699853,0,0,0,0,0,0,0,0,283.291332034024,0,0,0,0,223.055694599317,0,389.592548540569,0,0,0,0,0,0,0,0,216.096901384542,0,0,0,0,0,0,0,0,0,0,0,0,201.844752993538,0,0,313.508684754421,0,205.896936099827,0,0,0,0,0,217.037299676303,0,0,265.724161762501,0,0,0,0,0,0,0,0,335.445182096205,0,377.287167207512,0
gene 50,198.230550020921,0,0,0,0,349.232509363034,0,0,0,0,0,0,0,0,0,0,0,0,0,206.711676960163,0,193.529182665549,0,0,0,215.509359908345,0,327.191414326538,0,0,165.396177066601,0,0,0,0,0,285.188017006075,0,0,177.276104483276,0,0,187.534920913167,0,0,0,0,0,0,0,0,0,0,0,194.940991154112,220.829097576407,0,226.261309805361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.825939868469,302.320295244679,249.332495940303
gene 51,0,0,0,0,0,0,312.560321828853,0,0,0,378.23670858171,146.722429446298,0,0,0,0,237.858893010032,0,0,0,153.437145985105,241.89378751436,0,0,0,0,0,0,0,0,165.396177066601,0,0,406.530274656931,0,0,285.188017006075,0,0,0,0,0,0,0,0,0,200.159486730118,0,0,0,0,0,0,0,0,336.052704526512,0,0,0,0,0,0,0,0,0,0,0,217.037299676303,0,323.22463149049,0,0,0,0,187.662905916879,0,0,0,0,477.392524651696,0,0,0
gene 52,198.230550020921,222.25122240477,0,468.668280130982,0,0,0,0,0,0,0,267.792103701006,0,508.435754248076,0,0,190.01780511454,0,150.223262699853,0,0,147.597149925969,0,0,0,0,0,0,0,0,128.216808789051,429.365132862645,0,0,0,0,0,0,284.225163657526,0,0,0,0,0,269.614286615497,0,0,0,0,0,0,0,586.178204129475,0,276.354672958093,0,0,0,367.795845755625,313.508684754421,0,205.896936099827,446.80629951697,0,0,198.795821271718,0,217.037299676303,0,0,0,259.923683057579,0,0,0,0,0,0,0,0,0,0,0
gene 53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389.148491965304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
